Winner,Loser,Winner_Score,Loser_Score
plyr. Germany,plyr. Austria,1,0
plyr. Tunisia,plyr. Senegal,2,0
plyr. Guyana,plyr. Grenada,3,2
plyr. German DR,plyr. Greece,2,0
plyr. Zambia,plyr. Tanzania,2,0
plyr. Tanzania,plyr. Mozambique,2,0
plyr. Zimbabwe,plyr. Zambia,2,1
plyr. Yugoslavia,plyr. Poland,2,1
plyr. Libya,plyr. Malta,3,0
plyr. Czechoslovakia,plyr. Hungary,1,0
plyr. Republic of Ireland,plyr. Switzerland,2,0
plyr. Senegal,plyr. Guinea,1,0
plyr. Luxembourg,plyr. Thailand,1,0
plyr. Denmark,plyr. Sweden,1,0
plyr. Libya,plyr. Gambia,2,1
plyr. Luxembourg,plyr. South Korea,3,2
plyr. Martinique,plyr. Guadeloupe,1,0
plyr. Guernsey,plyr. Jersey,2,1
plyr. Japan,plyr. Luxembourg,1,0
plyr. Myanmar,plyr. Luxembourg,2,0
plyr. England,plyr. Argentina,3,1
plyr. Germany,plyr. Poland,3,1
plyr. Haiti,plyr. El Salvador,2,0
plyr. South Korea,plyr. Luxembourg,3,0
plyr. Argentina,plyr. Republic of Ireland,1,0
plyr. Northern Ireland,plyr. Scotland,1,0
plyr. Scotland,plyr. Wales,1,0
plyr. Sweden,plyr. Finland,2,0
plyr. Norway,plyr. Bulgaria,1,0
plyr. Russia,plyr. France,1,0
plyr. Northern Ireland,plyr. Wales,1,0
plyr. England,plyr. Scotland,2,0
plyr. Poland,plyr. Scotland,1,0
plyr. Costa Rica,plyr. Guatemala,2,1
plyr. England,plyr. Australia,2,1
plyr. Hungary,plyr. Scotland,3,1
plyr. Hong Kong,plyr. Macau,2,0
plyr. Denmark,plyr. Norway,3,1
plyr. El Salvador,plyr. Haiti,3,0
plyr. Bulgaria,plyr. Finland,2,0
plyr. Belgium,plyr. Romania,2,1
plyr. Honduras,plyr. Haiti,3,1
plyr. Zambia,plyr. Zimbabwe,2,1
plyr. Brazil,plyr. Mexico,2,0
plyr. Morocco,plyr. Tunisia,1,0
plyr. Zimbabwe,plyr. Zambia,3,1
plyr. Japan,plyr. Hong Kong,3,1
plyr. Honduras,plyr. Haiti,1,0
plyr. China PR,plyr. Japan,1,0
plyr. Germany,plyr. Czechoslovakia,1,0
plyr. Netherlands,plyr. Greece,1,0
plyr. Haiti,plyr. Guatemala,2,1
plyr. Algeria,plyr. Sierra Leone,3,1
plyr. Nigeria,plyr. Togo,1,0
plyr. Germany,plyr. Netherlands,3,2
plyr. Czechoslovakia,plyr. Greece,3,1
plyr. Belgium,plyr. Spain,2,1
plyr. Russia,plyr. Brazil,2,1
plyr. Honduras,plyr. Panama,2,0
plyr. Italy,plyr. England,1,0
plyr. Malawi,plyr. Zambia,2,0
plyr. Northern Ireland,plyr. Australia,2,1
plyr. Japan,plyr. Hong Kong,2,0
plyr. England,plyr. Spain,2,1
plyr. Madagascar,plyr. Tanzania,2,1
plyr. Germany,plyr. Belgium,2,1
plyr. Guinea,plyr. Lesotho,3,1
plyr. Poland,plyr. Iraq,3,0
plyr. Morocco,plyr. Senegal,1,0
plyr. Brazil,plyr. Chile,2,1
plyr. Costa Rica,plyr. Cuba,3,0
plyr. Congo,plyr. DR Congo,2,1
plyr. Cameroon,plyr. Malawi,3,0
plyr. Tunisia,plyr. Nigeria,2,0
plyr. Iceland,plyr. Faroe Islands,2,1
plyr. Poland,plyr. Bolivia,1,0
plyr. Senegal,plyr. Mauritania,3,1
plyr. Guatemala,plyr. Panama,2,0
plyr. Kenya,plyr. Tanzania,3,1
plyr. Zimbabwe,plyr. Malawi,1,0
plyr. Nigeria,plyr. Tunisia,2,0
plyr. Russia,plyr. Denmark,2,0
plyr. Norway,plyr. Iceland,3,1
plyr. DR Congo,plyr. Mozambique,2,1
plyr. Honduras,plyr. Panama,2,0
plyr. Haiti,plyr. Trinidad and Tobago,2,0
plyr. Iran,plyr. United Arab Emirates,2,0
plyr. Iran,plyr. United Arab Emirates,3,0
plyr. Cuba,plyr. Suriname,3,0
plyr. Trinidad and Tobago,plyr. Haiti,1,0
plyr. Hungary,plyr. Sweden,2,0
plyr. Indonesia,plyr. Thailand,2,1
plyr. South Korea,plyr. Malaysia,2,0
plyr. Lesotho,plyr. Mozambique,2,1
plyr. El Salvador,plyr. Panama,3,1
plyr. South Korea,plyr. Indonesia,3,0
plyr. Indonesia,plyr. Bahrain,3,2
plyr. Brazil,plyr. Uruguay,1,0
plyr. Paraguay,plyr. Bolivia,3,1
plyr. Mexico,plyr. Fiji,2,0
plyr. Thailand,plyr. Bahrain,1,0
plyr. Zambia,plyr. Zimbabwe,2,1
plyr. South Korea,plyr. Indonesia,2,0
plyr. Mexico,plyr. Tahiti,1,0
plyr. Albania,plyr. Finland,2,0
plyr. Russia,plyr. Iceland,2,1
plyr. South Korea,plyr. Singapore,2,0
plyr. Romania,plyr. Bulgaria,2,1
plyr. Republic of Ireland,plyr. Netherlands,2,1
plyr. Scotland,plyr. Sweden,1,0
plyr. Germany,plyr. Switzerland,3,2
plyr. Haiti,plyr. Curaçao,1,0
plyr. North Korea,plyr. Bangladesh,3,2
plyr. Canada,plyr. New Zealand,3,0
plyr. Qatar,plyr. United Arab Emirates,2,1
plyr. North Korea,plyr. China PR,2,1
plyr. Kuwait,plyr. Malaysia,3,1
plyr. Paraguay,plyr. Bolivia,2,1
plyr. Syria,plyr. Bangladesh,1,0
plyr. South Korea,plyr. Qatar,2,0
plyr. Malaysia,plyr. United Arab Emirates,2,0
plyr. South Korea,plyr. Kuwait,3,0
plyr. Syria,plyr. China PR,1,0
plyr. Sweden,plyr. Bulgaria,3,2
plyr. Austria,plyr. Finland,2,0
plyr. Iran,plyr. North Korea,3,2
plyr. Italy,plyr. Portugal,3,1
plyr. Iceland,plyr. Turkey,3,1
plyr. Brazil,plyr. Paraguay,2,1
plyr. North Korea,plyr. Syria,2,1
plyr. Yugoslavia,plyr. Denmark,2,1
plyr. Suriname,plyr. Guyana,1,0
plyr. South Korea,plyr. North Korea,2,1
plyr. Kuwait,plyr. Iran,2,1
plyr. Mali,plyr. Mauritania,2,0
plyr. Iran,plyr. North Korea,3,0
plyr. El Salvador,plyr. Guatemala,3,2
plyr. Kuwait,plyr. South Korea,3,0
plyr. Saudi Arabia,plyr. Northern Cyprus,2,0
plyr. Honduras,plyr. Costa Rica,3,2
plyr. Libya,plyr. Turkey,2,1
plyr. Turkey,plyr. Saudi Arabia,3,0
plyr. Libya,plyr. Saudi Arabia,2,0
plyr. United States,plyr. Luxembourg,2,0
plyr. Austria,plyr. Hungary,3,1
plyr. German DR,plyr. Czechoslovakia,1,0
plyr. Argentina,plyr. Bulgaria,2,0
plyr. Italy,plyr. Luxembourg,2,0
plyr. Argentina,plyr. Poland,2,1
plyr. Cameroon,plyr. Zimbabwe,2,0
plyr. Mauritania,plyr. Mali,2,1
plyr. Argentina,plyr. Czechoslovakia,1,0
plyr. Greece,plyr. Denmark,1,0
plyr. Northern Ireland,plyr. Sweden,3,0
plyr. Romania,plyr. England,2,1
plyr. New Zealand,plyr. South Korea,2,1
plyr. South Korea,plyr. Indonesia,1,0
plyr. Malaysia,plyr. Myanmar,3,2
plyr. Morocco,plyr. Thailand,2,1
plyr. South Korea,plyr. Kuwait,3,0
plyr. Bulgaria,plyr. Albania,2,1
plyr. Thailand,plyr. Myanmar,2,1
plyr. Kuwait,plyr. Myanmar,3,1
plyr. Thailand,plyr. Kuwait,1,0
plyr. Trinidad and Tobago,plyr. Guyana,2,0
plyr. Indonesia,plyr. Kuwait,2,1
plyr. Zimbabwe,plyr. Malawi,1,0
plyr. Morocco,plyr. New Zealand,3,0
plyr. Morocco,plyr. Kuwait,3,0
plyr. France,plyr. Republic of Ireland,2,0
plyr. Malaysia,plyr. Kuwait,2,1
plyr. Morocco,plyr. Indonesia,2,0
plyr. Norway,plyr. Switzerland,2,1
plyr. Malaysia,plyr. New Zealand,2,0
plyr. Myanmar,plyr. Indonesia,1,0
plyr. Canada,plyr. United States,2,1
plyr. Italy,plyr. Denmark,2,0
plyr. Morocco,plyr. Malaysia,2,1
plyr. Costa Rica,plyr. Panama,2,0
plyr. Uruguay,plyr. Bolivia,3,1
plyr. Cuba,plyr. Guyana,1,0
plyr. Honduras,plyr. Canada,2,0
plyr. Senegal,plyr. Mauritania,3,0
plyr. Canada,plyr. Guatemala,1,0
plyr. Ethiopia,plyr. Mozambique,3,2
plyr. Poland,plyr. Spain,2,1
plyr. Tanzania,plyr. Sudan,1,0
plyr. Benin,plyr. Niger,1,0
plyr. Italy,plyr. Yugoslavia,2,0
plyr. Western Australia,plyr. Brunei,2,0
plyr. Malawi,plyr. Zanzibar,1,0
plyr. Morocco,plyr. Zambia,2,0
plyr. Zimbabwe,plyr. Cameroon,1,0
plyr. Senegal,plyr. Sierra Leone,2,0
plyr. Belgium,plyr. Netherlands,1,0
plyr. England,plyr. Switzerland,2,1
plyr. German DR,plyr. Hungary,2,0
plyr. Malawi,plyr. Kenya,1,0
plyr. Portugal,plyr. Northern Ireland,1,0
plyr. Wales,plyr. Czechoslovakia,1,0
plyr. Singapore,plyr. Brunei,3,0
plyr. Sudan,plyr. Somalia,2,0
plyr. Zanzibar,plyr. Kenya,2,1
plyr. El Salvador,plyr. Honduras,2,1
plyr. Guinea,plyr. DR Congo,2,1
plyr. United States,plyr. Mexico,2,1
plyr. Tanzania,plyr. Malawi,1,0
plyr. Guatemala,plyr. Costa Rica,3,0
plyr. Sudan,plyr. Tanzania,1,0
plyr. Bolivia,plyr. Finland,3,0
plyr. Cuba,plyr. Guyana,3,0
plyr. Honduras,plyr. El Salvador,2,0
plyr. Senegal,plyr. Sierra Leone,2,1
plyr. Zambia,plyr. Morocco,2,0
plyr. Australia,plyr. Israel,1,0
plyr. Germany,plyr. Bulgaria,3,1
plyr. Czechoslovakia,plyr. Turkey,2,0
plyr. Hong Kong,plyr. Australia,1,0
plyr. Austria,plyr. Albania,1,0
plyr. Italy,plyr. Greece,2,0
plyr. Honduras,plyr. Guatemala,1,0
plyr. Togo,plyr. Mali,2,1
plyr. Poland,plyr. Malta,2,0
plyr. Kenya,plyr. Zambia,2,0
plyr. Algeria,plyr. Sudan,2,0
plyr. Kenya,plyr. Zambia,2,1
plyr. Togo,plyr. Niger,1,0
plyr. Saudi Arabia,plyr. Indonesia,3,0
plyr. Portugal,plyr. Israel,3,0
plyr. Nigeria,plyr. Tanzania,2,0
plyr. Brazil,plyr. Switzerland,2,0
plyr. DR Congo,plyr. Madagascar,3,2
plyr. Belgium,plyr. Cyprus,2,0
plyr. El Salvador,plyr. Guatemala,1,0
plyr. Guinea,plyr. Liberia,1,0
plyr. China PR,plyr. Hong Kong,1,0
plyr. North Korea,plyr. Macau,3,0
plyr. Japan,plyr. Singapore,1,0
plyr. China PR,plyr. Macau,3,0
plyr. China PR,plyr. Japan,1,0
plyr. North Korea,plyr. Singapore,1,0
plyr. Japan,plyr. Macau,3,0
plyr. Niger,plyr. Togo,2,1
plyr. North Korea,plyr. Japan,1,0
plyr. Uruguay,plyr. Netherlands,2,0
plyr. Argentina,plyr. Germany,2,1
plyr. Uruguay,plyr. Italy,2,0
plyr. Uruguay,plyr. Brazil,2,1
plyr. Curaçao,plyr. Venezuela,3,1
plyr. Venezuela,plyr. Curaçao,1,0
plyr. Poland,plyr. Japan,2,0
plyr. Bulgaria,plyr. Ecuador,3,1
plyr. Greece,plyr. Luxembourg,2,0
plyr. Bulgaria,plyr. Bolivia,3,1
plyr. Poland,plyr. Japan,3,0
plyr. Mali,plyr. Mauritania,2,0
plyr. Senegal,plyr. Cape Verde,1,0
plyr. Czechoslovakia,plyr. Peru,3,1
plyr. Senegal,plyr. Guinea-Bissau,1,0
plyr. Guinea,plyr. Mauritania,2,1
plyr. Iraq,plyr. Jordan,2,0
plyr. Cape Verde,plyr. Guinea-Bissau,3,0
plyr. Iraq,plyr. Jordan,2,0
plyr. Malaysia,plyr. Japan,1,0
plyr. Brazil,plyr. Venezuela,1,0
plyr. Mali,plyr. Cape Verde,2,0
plyr. Guinea,plyr. Senegal,1,0
plyr. Bulgaria,plyr. Peru,2,1
plyr. Jordan,plyr. Oman,1,0
plyr. Bolivia,plyr. Venezuela,3,0
plyr. Morocco,plyr. Syria,3,0
plyr. Jordan,plyr. Oman,2,0
plyr. Japan,plyr. Singapore,1,0
plyr. Belgium,plyr. Cyprus,3,2
plyr. Spain,plyr. France,1,0
plyr. Brazil,plyr. Bolivia,2,1
plyr. Netherlands,plyr. Cyprus,3,0
plyr. Indonesia,plyr. Japan,2,0
plyr. Wales,plyr. Republic of Ireland,3,1
plyr. Scotland,plyr. Israel,1,0
plyr. Bahrain,plyr. Jordan,1,0
plyr. Finland,plyr. Sweden,2,1
plyr. Tahiti,plyr. Fiji,1,0
plyr. Tunisia,plyr. Bahrain,3,0
plyr. South Korea,plyr. Japan,1,0
plyr. Liberia,plyr. Togo,2,0
plyr. Tunisia,plyr. Saudi Arabia,2,1
plyr. Chile,plyr. Colombia,1,0
plyr. Tahiti,plyr. Fiji,2,1
plyr. Greece,plyr. Luxembourg,2,0
plyr. Saudi Arabia,plyr. Jordan,2,1
plyr. Brazil,plyr. Chile,2,1
plyr. Colombia,plyr. Paraguay,2,0
plyr. Venezuela,plyr. Bolivia,1,0
plyr. Iraq,plyr. Qatar,1,0
plyr. Chile,plyr. Colombia,2,1
plyr. Bahrain,plyr. Syria,1,0
plyr. Saudi Arabia,plyr. Iraq,1,0
plyr. Brazil,plyr. Bolivia,3,1
plyr. Morocco,plyr. Liberia,3,1
plyr. Qatar,plyr. Bahrain,3,0
plyr. Switzerland,plyr. Czechoslovakia,1,0
plyr. Saudi Arabia,plyr. Syria,2,0
plyr. Belgium,plyr. Republic of Ireland,1,0
plyr. Spain,plyr. England,2,1
plyr. Iraq,plyr. Bahrain,2,0
plyr. Netherlands,plyr. France,1,0
plyr. Romania,plyr. Poland,2,0
plyr. Guinea,plyr. Senegal,1,0
plyr. Wales,plyr. Turkey,1,0
plyr. Yugoslavia,plyr. Bulgaria,2,1
plyr. Qatar,plyr. Syria,2,1
plyr. Saudi Arabia,plyr. Bahrain,1,0
plyr. Iraq,plyr. Syria,2,1
plyr. Saudi Arabia,plyr. Qatar,1,0
plyr. Germany,plyr. Albania,2,0
plyr. Cameroon,plyr. Niger,2,0
plyr. Algeria,plyr. Senegal,2,0
plyr. German DR,plyr. Malta,2,1
plyr. DR Congo,plyr. Mozambique,2,1
plyr. Israel,plyr. Romania,2,1
plyr. Zambia,plyr. Zimbabwe,1,0
plyr. DR Congo,plyr. Cameroon,1,0
plyr. Tunisia,plyr. Senegal,1,0
plyr. Togo,plyr. Congo,2,1
plyr. Greece,plyr. Cyprus,1,0
plyr. Denmark,plyr. Romania,2,1
plyr. Hungary,plyr. Spain,3,0
plyr. Czechoslovakia,plyr. Turkey,3,0
plyr. Nigeria,plyr. Guinea,1,0
plyr. Singapore,plyr. Malaysia,2,1
plyr. Egypt,plyr. Kenya,2,0
plyr. Mozambique,plyr. Lesotho,2,0
plyr. Chile,plyr. Peru,3,0
plyr. Malawi,plyr. Zambia,2,1
plyr. Mali,plyr. Algeria,3,0
plyr. Ethiopia,plyr. Sudan,2,0
plyr. South Korea,plyr. Malaysia,2,1
plyr. Zambia,plyr. Zimbabwe,2,0
plyr. Ghana,plyr. Congo,1,0
plyr. Ethiopia,plyr. Rwanda,1,0
plyr. Morocco,plyr. Egypt,1,0
plyr. Scotland,plyr. Israel,3,1
plyr. Bulgaria,plyr. Norway,1,0
plyr. Uruguay,plyr. Chile,2,1
plyr. Netherlands,plyr. Cyprus,1,0
plyr. France,plyr. Belgium,3,2
plyr. Germany,plyr. Austria,2,0
plyr. Republic of Ireland,plyr. Czechoslovakia,3,1
plyr. Kuwait,plyr. South Korea,2,0
plyr. Northern Ireland,plyr. Portugal,1,0
plyr. Denmark,plyr. Luxembourg,2,1
plyr. Poland,plyr. German DR,1,0
plyr. Liberia,plyr. Guinea,2,1
plyr. Rwanda,plyr. Ethiopia,1,0
plyr. New Zealand,plyr. Indonesia,2,0
plyr. Brazil,plyr. England,1,0
plyr. Hungary,plyr. Romania,1,0
plyr. Denmark,plyr. Sweden,2,1
plyr. Brazil,plyr. France,3,1
plyr. New Zealand,plyr. Australia,2,0
plyr. Wales,plyr. Scotland,2,0
plyr. Ecuador,plyr. Paraguay,1,0
plyr. Brazil,plyr. Germany,2,1
plyr. Scotland,plyr. Northern Ireland,2,0
plyr. Australia,plyr. Indonesia,2,0
plyr. Hungary,plyr. Norway,2,1
plyr. Scotland,plyr. England,1,0
plyr. Poland,plyr. Republic of Ireland,3,0
plyr. Austria,plyr. Bulgaria,2,0
plyr. New Zealand,plyr. Taiwan,2,0
plyr. Switzerland,plyr. England,2,1
plyr. Niger,plyr. Algeria,1,0
plyr. Paraguay,plyr. Ecuador,3,1
plyr. Denmark,plyr. Italy,3,1
plyr. Romania,plyr. Norway,1,0
plyr. Sweden,plyr. Northern Ireland,1,0
plyr. Fiji,plyr. Taiwan,2,1
plyr. England,plyr. Hungary,3,1
plyr. Chile,plyr. Paraguay,1,0
plyr. Suriname,plyr. French Guiana,3,1
plyr. Australia,plyr. Taiwan,3,2
plyr. Chile,plyr. Ecuador,2,0
plyr. Indonesia,plyr. Taiwan,1,0
plyr. Thailand,plyr. Liechtenstein,2,0
plyr. South Korea,plyr. Malaysia,2,0
plyr. Malta,plyr. Indonesia,1,0
plyr. Japan,plyr. Malaysia,2,0
plyr. Thailand,plyr. Indonesia,3,1
plyr. Portugal,plyr. Spain,2,0
plyr. Chile,plyr. Paraguay,3,0
plyr. French Guiana,plyr. Suriname,3,1
plyr. South Korea,plyr. Japan,2,0
plyr. Malawi,plyr. Tanzania,3,1
plyr. Liechtenstein,plyr. Indonesia,3,2
plyr. Malta,plyr. Thailand,2,0
plyr. Hong Kong,plyr. Macau,3,1
plyr. Sweden,plyr. Portugal,3,0
plyr. Angola,plyr. Mozambique,1,0
plyr. Zambia,plyr. DR Congo,3,1
plyr. Spain,plyr. Venezuela,2,0
plyr. Taiwan,plyr. Indonesia,2,0
plyr. Finland,plyr. Norway,3,1
plyr. Guadeloupe,plyr. Dominica,3,2
plyr. Saint Vincent and the Grenadines,plyr. Martinique,2,1
plyr. Malawi,plyr. Mozambique,3,1
plyr. Fiji,plyr. Solomon Islands,2,1
plyr. Tahiti,plyr. New Caledonia,1,0
plyr. Brazil,plyr. Spain,1,0
plyr. Papua New Guinea,plyr. Fiji,3,2
plyr. Malawi,plyr. Zimbabwe,2,0
plyr. Solomon Islands,plyr. Vanuatu,2,1
plyr. Kenya,plyr. Mauritius,2,1
plyr. Madagascar,plyr. Réunion,3,2
plyr. Madagascar,plyr. Réunion,3,0
plyr. Papua New Guinea,plyr. Vanuatu,3,2
plyr. New Caledonia,plyr. Fiji,3,0
plyr. Kenya,plyr. Réunion,3,1
plyr. Papua New Guinea,plyr. Solomon Islands,2,1
plyr. Papua New Guinea,plyr. Vanuatu,1,0
plyr. Tahiti,plyr. New Caledonia,1,0
plyr. DR Congo,plyr. Benin,2,1
plyr. Nigeria,plyr. Burkina Faso,1,0
plyr. Ghana,plyr. Benin,2,1
plyr. Kenya,plyr. Madagascar,1,0
plyr. Saint Vincent and the Grenadines,plyr. Martinique,2,1
plyr. Mauritius,plyr. Réunion,2,1
plyr. Suriname,plyr. French Guiana,1,0
plyr. Sweden,plyr. Finland,1,0
plyr. Zimbabwe,plyr. Nigeria,2,0
plyr. Ghana,plyr. DR Congo,2,1
plyr. Guadeloupe,plyr. Saint Vincent and the Grenadines,3,0
plyr. Nigeria,plyr. Kenya,3,1
plyr. Chile,plyr. Peru,2,1
plyr. Uruguay,plyr. Colombia,3,2
plyr. Denmark,plyr. Finland,2,1
plyr. Sweden,plyr. Bulgaria,1,0
plyr. Indonesia,plyr. Philippines,3,0
plyr. Trinidad and Tobago,plyr. Suriname,3,2
plyr. Morocco,plyr. Zambia,2,1
plyr. Peru,plyr. Colombia,2,0
plyr. Saint Vincent and the Grenadines,plyr. Guadeloupe,3,1
plyr. South Korea,plyr. Indonesia,1,0
plyr. Iceland,plyr. Nigeria,3,0
plyr. Peru,plyr. Uruguay,2,1
plyr. Denmark,plyr. Iceland,3,0
plyr. Indonesia,plyr. Australia,1,0
plyr. Madagascar,plyr. Cameroon,2,1
plyr. Japan,plyr. Malaysia,2,0
plyr. Zambia,plyr. Morocco,2,0
plyr. Thailand,plyr. Singapore,3,1
plyr. Switzerland,plyr. Netherlands,2,1
plyr. Finland,plyr. Albania,2,1
plyr. Germany,plyr. Poland,2,0
plyr. Japan,plyr. India,3,2
plyr. South Korea,plyr. Singapore,2,0
plyr. Zimbabwe,plyr. Malawi,2,1
plyr. New Zealand,plyr. Malaysia,1,0
plyr. India,plyr. United Arab Emirates,2,0
plyr. Zimbabwe,plyr. Eswatini,2,0
plyr. Niger,plyr. Burkina Faso,2,1
plyr. Japan,plyr. United Arab Emirates,3,2
plyr. Belgium,plyr. France,2,0
plyr. Czechoslovakia,plyr. Wales,2,0
plyr. Yugoslavia,plyr. Denmark,2,1
plyr. Iceland,plyr. Turkey,2,0
plyr. Malaysia,plyr. Indonesia,2,0
plyr. Norway,plyr. England,2,1
plyr. Bulgaria,plyr. Romania,2,1
plyr. Scotland,plyr. Sweden,2,0
plyr. United Arab Emirates,plyr. New Zealand,1,0
plyr. India,plyr. Indonesia,1,0
plyr. New Zealand,plyr. Japan,1,0
plyr. United Arab Emirates,plyr. Malaysia,1,0
plyr. Saint Vincent and the Grenadines,plyr. Suriname,2,1
plyr. Japan,plyr. Indonesia,2,0
plyr. Iraq,plyr. Japan,2,0
plyr. Venezuela,plyr. Cuba,1,0
plyr. Denmark,plyr. Norway,2,1
plyr. Greece,plyr. Sweden,2,1
plyr. Italy,plyr. Bulgaria,3,2
plyr. Portugal,plyr. Poland,2,0
plyr. Uganda,plyr. Nigeria,1,0
plyr. Zimbabwe,plyr. Botswana,1,0
plyr. Trinidad and Tobago,plyr. Grenada,3,1
plyr. New Zealand,plyr. China PR,1,0
plyr. Nigeria,plyr. Liberia,3,0
plyr. Russia,plyr. Turkey,3,0
plyr. Poland,plyr. German DR,3,2
plyr. Kuwait,plyr. New Zealand,2,1
plyr. Algeria,plyr. Nigeria,2,0
plyr. Switzerland,plyr. Romania,2,1
plyr. Bulgaria,plyr. Albania,2,0
plyr. Germany,plyr. Austria,3,1
plyr. Denmark,plyr. Greece,3,2
plyr. Hungary,plyr. Switzerland,3,0
plyr. Republic of Ireland,plyr. France,3,2
plyr. Netherlands,plyr. Belgium,3,0
plyr. Sweden,plyr. Portugal,2,1
plyr. Spain,plyr. Luxembourg,3,0
plyr. Saudi Arabia,plyr. South Korea,2,0
plyr. China PR,plyr. Kuwait,3,0
plyr. Trinidad and Tobago,plyr. Saint Vincent and the Grenadines,2,0
plyr. Trinidad and Tobago,plyr. Guadeloupe,2,0
plyr. Saint Vincent and the Grenadines,plyr. Puerto Rico,2,0
plyr. Saint Vincent and the Grenadines,plyr. Guadeloupe,3,1
plyr. Malta,plyr. Tunisia,1,0
plyr. United Arab Emirates,plyr. India,2,0
plyr. Poland,plyr. Argentina,2,1
plyr. Brazil,plyr. Bulgaria,3,0
plyr. Russia,plyr. Czechoslovakia,2,0
plyr. Sweden,plyr. Saudi Arabia,2,1
plyr. United Arab Emirates,plyr. India,3,1
plyr. Algeria,plyr. Nigeria,2,1
plyr. Tanzania,plyr. Burundi,2,1
plyr. Senegal,plyr. Morocco,2,0
plyr. Tanzania,plyr. Burundi,1,0
plyr. Canada,plyr. El Salvador,1,0
plyr. Kuwait,plyr. Saudi Arabia,1,0
plyr. Trinidad and Tobago,plyr. Barbados,2,1
plyr. El Salvador,plyr. Mexico,1,0
plyr. Honduras,plyr. Cuba,2,0
plyr. Thailand,plyr. Singapore,2,1
plyr. Singapore,plyr. Malaysia,1,0
plyr. Thailand,plyr. Pakistan,1,0
plyr. Honduras,plyr. Canada,2,1
plyr. Pakistan,plyr. Malaysia,3,2
plyr. Kenya,plyr. Malawi,1,0
plyr. Cuba,plyr. Haiti,2,0
plyr. Cameroon,plyr. Morocco,2,0
plyr. Tanzania,plyr. Zanzibar,3,1
plyr. Thailand,plyr. Malaysia,2,0
plyr. Kenya,plyr. Zanzibar,2,1
plyr. Pakistan,plyr. Singapore,1,0
plyr. Uganda,plyr. Zambia,3,1
plyr. England,plyr. Hungary,1,0
plyr. France,plyr. Netherlands,2,0
plyr. Northern Ireland,plyr. Israel,1,0
plyr. Spain,plyr. Poland,3,2
plyr. Portugal,plyr. Scotland,2,1
plyr. Russia,plyr. Wales,3,0
plyr. China PR,plyr. Saudi Arabia,2,0
plyr. El Salvador,plyr. Haiti,1,0
plyr. Tanzania,plyr. Kenya,1,0
plyr. Zambia,plyr. Sudan,2,0
plyr. Kenya,plyr. Uganda,3,1
plyr. Tanzania,plyr. Zambia,2,1
plyr. Zambia,plyr. Uganda,1,0
plyr. Kenya,plyr. Tanzania,1,0
plyr. Cameroon,plyr. Morocco,2,1
plyr. Yugoslavia,plyr. Greece,2,1
plyr. Kuwait,plyr. China PR,1,0
plyr. Italy,plyr. Luxembourg,1,0
plyr. Malaysia,plyr. Myanmar,1,0
plyr. Kuwait,plyr. Saudi Arabia,2,0
plyr. Indonesia,plyr. Singapore,1,0
plyr. Indonesia,plyr. Philippines,2,0
plyr. Thailand,plyr. Indonesia,2,1
plyr. Indonesia,plyr. Singapore,2,0
plyr. Thailand,plyr. Malaysia,2,1
plyr. Spain,plyr. Belgium,2,0
plyr. New Zealand,plyr. China PR,2,1
plyr. Cameroon,plyr. Congo,2,1
plyr. Tanzania,plyr. Ethiopia,2,0
plyr. Singapore,plyr. Bahrain,2,0
plyr. Portugal,plyr. Greece,2,1
plyr. Mali,plyr. Benin,3,2
plyr. Brazil,plyr. German DR,3,1
plyr. Senegal,plyr. Benin,1,0
plyr. Libya,plyr. Guinea,3,0
plyr. Algeria,plyr. Tunisia,1,0
plyr. German DR,plyr. Greece,1,0
plyr. Cape Verde,plyr. Gambia,2,0
plyr. Sierra Leone,plyr. Guinea-Bissau,2,1
plyr. Hungary,plyr. New Zealand,2,1
plyr. Cape Verde,plyr. Mali,1,0
plyr. Gambia,plyr. Mauritania,3,1
plyr. Guinea,plyr. Sierra Leone,1,0
plyr. Senegal,plyr. Guinea-Bissau,1,0
plyr. Togo,plyr. Liberia,1,0
plyr. Uganda,plyr. Ethiopia,2,1
plyr. Hungary,plyr. New Zealand,2,1
plyr. Benin,plyr. Niger,2,0
plyr. Mauritania,plyr. Cape Verde,2,1
plyr. Burkina Faso,plyr. Liberia,2,1
plyr. Senegal,plyr. Sierra Leone,2,0
plyr. Guinea,plyr. Cape Verde,1,0
plyr. Germany,plyr. Portugal,3,1
plyr. Senegal,plyr. Mali,1,0
plyr. Oman,plyr. Nepal,1,0
plyr. Togo,plyr. Burkina Faso,2,1
plyr. Ethiopia,plyr. Uganda,1,0
plyr. Zambia,plyr. Botswana,2,0
plyr. Oman,plyr. Bangladesh,3,1
plyr. Mali,plyr. Cape Verde,2,1
plyr. Ghana,plyr. Burkina Faso,1,0
plyr. Guinea,plyr. Senegal,3,0
plyr. Libya,plyr. Qatar,2,1
plyr. Finland,plyr. Sweden,2,1
plyr. France,plyr. Italy,2,0
plyr. Ghana,plyr. Togo,2,1
plyr. Spain,plyr. Scotland,3,0
plyr. Uruguay,plyr. India,3,1
plyr. Honduras,plyr. United Arab Emirates,1,0
plyr. Uruguay,plyr. China PR,2,0
plyr. Iran,plyr. North Korea,2,0
plyr. Algeria,plyr. Zambia,1,0
plyr. Nigeria,plyr. Ethiopia,3,0
plyr. Iraq,plyr. South Korea,3,0
